Sentence,translated_text
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","Công ty điều hành của nhóm nhạc, HK Management Inc., không tiết lộ lý do cụ thể khi họ thông báo hủy vào ngày 20/9, nhưng sau đó cho rằng do lý do về hậu cần vào ngày tiếp theo."
"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.","Mặc dù hầu hết các cơ quan đều sẵn sàng nhận hầu hết các đặt phòng thông thường, nhưng nhiều đại lý chuyên về các lĩnh vực du lịch cụ thể, khoảng giá hoặc điểm đến nhất định."
Its large glazed windows and thin walls would not have been able to resist a determined attack for long.,Cửa sổ kính rộng lớn và tường mỏng sẽ không thể chịu đựng được một cuộc tấn công mạnh mẽ trong một thời gian dài.
However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,"Tuy vậy vào năm 991, Ethelred phải đương đầu với hạm đội Viking lớn nhất từ trước đến nay kể từ thời Guthrum cách đây một thế kỷ."
"According to reports, an apartment on Macbeth Street exploded due to a gas leak.","Theo thông tin, một chung cư trên đường Macbeth tại đã bị phát nổ do rò rỉ khí ga."
When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic.,"Khi tất cả các cá thể trong một quần thể, có đặc điểm giống nhau về một tính trạng cụ thể thì chúng được coi là đồng hình."
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".","Phần mà chúng ta nhìn thấy bên ngoài khi nhìn vào Mặt trời, được gọi là quang cầu, tạm dịch là hình cầu ánh sáng."
"The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.",Họa tiết cần có độ sâu 5 mm (1/5 inch) trở lên và vật liệu mềm trong điều kiện nhiệt độ thấp.
"For those unfamiliar with medical jargon, the words infectious and contagious have distinct meanings.","Với những người không quen thuộc với ngôn ngữ y học, các từ có khả năng lây nhiễm và lây nhiễm có ý nghĩa riêng biệt."
"Avalanches are not an abnormality; steep slopes can hold only so much slow, and the excess volumes will come down as avalanches.","Lở tuyết không phải là điều bất thường; sườn dốc chỉ có thể chứa một lượng tuyết nhất định, và lượng tuyết thừa sẽ trượt xuống thành lở tuyết."
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","Những ông chủ này đã bị Provenzano kiểm soát khi ông kết thúc cuộc chiến do Riina chỉ đạo chống lại chính phủ, đã cướp đi sinh mạng của những người đấu tranh chống Mafia là Giovanni Falcone và Paolo Borsellino vào năm 1992."
"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.","Đi cùng với các quan chức đó, ông đảm bảo với công dân Texas rằng đã và đang thực hiện các biện pháp để đảm bảo an toàn cho công chúng."
The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage.,Tòa nhà này đã từng đón nhiều người hành hương đến tham quan thành phố thiêng vào dịp lễ Hajj.
"Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.","Tuy nhiên, vẫn có nhiều cách uống cà phê độc đáo trên toàn thế giới đáng để thử."
"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","Đã phát sóng tiếng Anh và tiếng Nhật, tổ chức quốc tế đang phát sóng các chương trình phát sóng tiếng Tây Ban Nha, tiếng Ý và tiếng Hàn, trên truyền hình, internet và thiết bị di động."
A cell is the smallest structural and functional unit of a living (things) organism.,Tế bào là đơn vị cấu tạo và hoạt động cơ bản nhất của một sinh vật còn sống.
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.","Trong 30 năm qua, mặc dù vẫn mang danh nghĩa xã hội chủ nghĩa, Trung Quốc đã chuyển đổi sang nền kinh tế thị trường."
"The focus of this mindset is speed, logic and accuracy, also identification of facts, reapplying existing techniques, gathering information.","Điểm nhấn của tư duy này là tốc độ, lô-gic và chính xác, cũng như xác định sự kiện, vận dụng các kỹ thuật hiện có, thu thập và xử lý thông tin."
"When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach.","Khi nước rút thấp, một khoảng trống được mở ra dọc theo bờ sông Mystic ở phía đông bắc của bán đảo, họ nhanh chóng kéo dài hàng rào với một đoạn tường đá ngắn về hướng bắc kết thúc ở mép nước ở một bãi biển nhỏ."
"In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church.","Trong trường hợp cụ thể này, việc nhớ lại những trường hợp hành vi đổi mới trước đây và những thành công đạt được đã giúp mọi người chấp nhận những thay đổi mới. Điều này cũng giúp họ hướng tới tương lai mới cho cộng đồng giáo xứ địa phương."
"Jerusalem is the capital and largest city of Israel, though most other countries and the United Nations do not recognize it as Israel's capital.","Giêrusalem là thủ đô và thành phố lớn nhất của Israel, dù các quốc gia khác và LHQ không công nhận nó là thủ đô của Israel."
"Seven points behind, Johnson is second with 2,243.","Đứng sau bảy điểm, Johnson đứng thứ hai với 2.243 điểm."
"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.","Ngoài việc sốt và đau họng, tôi thấy ổn và đủ sức khỏe để làm việc qua việc làm việc từ xa."
"San Francisco has developed a large tourist infrastructure with numerous hotels, restaurants, and top-notch convention facilities.","Thành phố San Francisco đã phát triển mạnh mẽ về du lịch với nhiều khách sạn, nhà hàng và các trung tâm hội nghị hiện đại."
"If you look at living things under a microscope, you will see that they are made of small squares or balls.","Nếu bạn nhìn các sinh vật sống dưới kính lúp, bạn sẽ thấy chúng được tạo thành từ những hạt nhỏ hình vuông hoặc những hạt nhỏ hình cầu."
"Written words are often easier to understand than spoken words, also. This is especially true of addresses, which are often difficult to pronounce intelligibly.","Ngôn từ viết thường dễ hiểu hơn ngôn từ nói, cũng đúng. Điều này đặc biệt đúng trong trường hợp địa chỉ đường phố, thường khó phát âm một cách rõ ràng."
"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.","Vài năm sau vào năm 1639, nhà thiên văn học người Anh Jeremiah Horrocks đã quan sát sự kiện sao Kim đi qua đĩa Mặt Trời."
"Unless you are a diplomat, working overseas generally means that you will have to file income tax in the country you are based in.","Nếu bạn không phải là nhà ngoại giao, làm việc ở nước ngoài thường có nghĩa bạn sẽ phải nộp thuế thu nhập ở nước bạn đang làm việc."
"However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).","Tuy thế, Charles đã theo học tại Trinity College, Cambridge nơi ông đã theo học Nhân chủng học và Cổ vật học, và sau đó là Lịch sử học, với kết quả điểm 2:2 (hạng nhì loại hai)."
"I expect to return to all my duties on Monday,"" Arias said in a statement.","""Tôi hy vọng sẽ trở lại công việc bình thường vào thứ Hai"", Arias cho biết trong một tuyên bố."""
"What is a cell? The word cell comes from the Latin word ""cella"", meaning ""small room"", and it was first coined by a microscopist observing the structure of cork.","Tế bào nghĩa là gì? Từ 'tế bào' có nguồn gốc từ tiếng Latin ""cella"", tương ứng với nghĩa ""phòng nhỏ"", và nó được đặt ra lần đầu tiên bởi một nhà vi sinh học quan sát cấu trúc của vỏ cây dẻ."
Russian ground control activated the jets and normal attitude of the station was regained.,Trạm điều khiển mặt đất của Nga đã kích hoạt các động cơ đẩy và tư thế bình thường của trạm đã được phục hồi.
"It is possible to secure park permits directly from the Ranger Station in Puerto Jiménez, but they do not accept credit cards","Có thể xin trực tiếp giấy phép vào công viên tại Trạm Cảnh sát Lâm nghiệp ở Puerto Jiménez, nhưng họ không chấp nhận thẻ tín dụng hoặc thẻ ghi nợ."
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","Tuy vậy, ông đã lặp lại rằng Roe v. Wade là ""luật đã được thiết lập"", nhấn mạnh vào tầm quan trọng của sự nhất quán trong các phán quyết của Tối cao Pháp viện."
"Especially in your initial days, consider splurging on Western-style and -quality hotels, food, and services to help acclimatize.","Đặc biệt là trong những ngày đầu đến, hãy cân nhắc chi tiêu đôi chút cho các khách sạn, nhà hàng và dịch vụ cao cấp để giúp bạn làm quen."
"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University).","MRI dựa trên hiện tượng vật lý cộng hưởng từ hạt nhân (NMR), được phát hiện vào thập niên 1930 bởi Felix Bloch khi làm việc tại Đại học Stanford và cùng với Edward Purcell từ Đại học Harvard."
"In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.","Trong một cuộc phục kích ở phía đông Bardia, người Anh đã bắt giữ tư lệnh kỹ sư của Quân đoàn 10 Ý, Đại tướng Lastucci."
"Wildlife is among the most challenging motifs for a photographer, and needs a combination of good luck, patience, experience and good equipment.","Đời sống hoang dã là một trong những chủ đề khó chụp nhất với nhiếp ảnh gia, và cần có sự kết hợp giữa may mắn và cơ hội, sự kiên nhẫn, kinh nghiệm và thiết bị chất lượng cao."
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,"Cầu thủ của ngày hôm nay là Alex Ovechkin, thuộc đội bóngockey Washington Capitals."
The jail became notorious after prisoner abuse was discovered there after US forces took over.,Nhà tù trở nên nổi tiếng về sự tàn ác sau khi việc lạm dụng tù nhân bị phát giác sau khi quân đội Mỹ tiếp quản.
"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.","Sinh ra tại thủ đô Croatia là Zagreb, Bobek đã trở nên nổi tiếng trong thời gian chơi cho Partizan Belgrade."
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Vào khoảng 11:29, cuộc biểu tình tiến về phía Whitehall, qua Vườn Trafalgar, dọc theo đường Strand, vượt qua Aldwych và đi về hướng Kingsway tới Holborn nơi Đảng Bảo thủ Anh đang tổ chức Hội nghị Mùa xuân tại khách sạn Grand Connaught Rooms tại Holborn."
"The Colonists, seeing this activity, had also called for reinforcements.","Các nhà thực dân, nhận thấy hoạt động này, cũng đã yêu cầu tăng viện."
Stark's men took positions along the fence on the north end of the Colonist's position.,Những người của Stark đã chiếm lĩnh dọc theo hàng rào ở đầu phía bắc của vị trí người định cư.
It is an archipelago with 15 islands spread out over 2.2 million km2 of ocean.,"Đây là một quần đảo với 15 hòn đảo phân bố trên 2,2 triệu km2 biển của biển."
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Peter Costello, bộ trưởng ngân khố Úc và người có khả năng kế vị cao nhất thủ tướng John Howard với tư cách là người lãnh đạo đảng Tự do, đã bày tỏ sự ủng hộ đối với ngành công nghiệp năng lượng hạt nhân ở Úc."
"However, in Malaysia, at least among the Malays in rural areas, it means ""come over,"" similar to the index finger bent toward the body, a gesture which is used in certain Western countries, and should be used only for that purpose.","Ở Malaysia, đặc biệt là trong cộng đồng người Mã Lai ở nông thôn, nó có nghĩa tương tự như ""đến đây"", giống như cử chỉ cong ngón tay trỏ về phía người, một cử chỉ phổ biến ở một số nước phương Tây và chỉ nên dùng trong trường hợp đó."
"If you are going to camp out, bring a camp cot or hammock to keep you away from snakes, scorpions and such.","Nếu bạn đi cắm trại, hãy mang theo chăn hoặc võng để giữ bạn cách xa rắn, bọ cạp, động vật và những thứ tương tự."
"The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.","Cách thức thu thập thông tin đã thay đổi. Không còn phụ thuộc vào khả năng nhớ lại của từng cá nhân, mà khả năng nhớ lại văn bản được chú trọng hơn, trở thành trọng tâm hơn."
"Towering above the north end of Machu Picchu is this steep mountain, often the backdrop to many photos of the ruins.","Đứng sừng sững ở phía bắc của Machu Picchu là núi dốc đứng này, thường là bối cảnh cho nhiều bức hình của tàn tích."
A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,Một con Triceratops có thể đã sử dụng mỏ cứng của nó để lột bỏ lá cây trước khi ăn thân cây đó.
It can be customized to make it easy to read and also with as much or little color as desired.,Nó có thể được tùy biến để dễ đọc và có màu theo ý muốn.
"This authentic community is located in Howe Sound just off Vancouver, and is easily accessed via scheduled water taxis departing Granville Island in downtown Vancouver.","Cộng đồng thật sự này nằm ở Howe Sound, gần thành phố Vancouver, và dễ dàng đến thông qua tàu thủy theo lịch trình từ đảo Granville ở khu trung tâm thành phố Vancouver."
"There were no heavy traffic delays reported on the beltway, the city's alternate route.","Không có tình trạng giao thông ùn tắc trên đường vành đai, tuyến đường vòng của thành phố."
These requirements may often depend on what countries a traveller has visited or intends to visit.,Các yêu cầu này thường phụ thuộc vào quốc gia mà người đi du lịch đã đến hoặc dự định đến.
"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.","Il-76 đã là nền tảng chính của quân đội Nga và quân đội Liên Xô từ những năm 1970 và đã gặp phải một tai nạn nghiêm trọng ở Nga, vào tháng trước."
"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.","Khi viên nang vào Trái Đất và bầu khí quyển của Trái Đất vào khoảng 5 giờ sáng (giờ miền đông), người ta dự đoán nó sẽ tạo ra một vở diễn ánh sáng rực rỡ cho người xem ở California Bắc, Oregon, Nevada, và Utah."
"Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.","Khách sạn hoặc nơi bạn lưu trú thường có wifi hoặc máy tính có kết nối internet, và tất cả các khu vực đều có quán cà phê có internet hoặc một số điểm có wifi miễn phí."
"One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.","Một trong số những người giàu có nhất thế giới, Allen đã đầu tư một phần lớn tài sản của mình vào việc khám phá đại dương và bắt đầu tìm kiếm Musashi bởi sự quan tâm sâu sắc của ông đối với lịch sử chiến tranh."
The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states.,Lý do chính cho hiện tượng này xảy ra là kết quả của những giấc mơ sáng tỏ kéo dài khoảng thời gian giữa các trạng thái REM.
"Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.","Vì cuộc gọi được kết nối qua Internet, bạn không cần phải sử dụng công ty điện thoại ở nơi bạn sống hoặc nơi bạn du lịch."
Each show would also provide recommendations for books that children should look for when they went to their library.,Từng chương trình cũng sẽ cung cấp các gợi ý sách mà trẻ em nên đọc khi chúng đến thư viện của mình.
Be sure the agent through whom you book is a Galapagos specialist with a good knowledge of a wide variety of ships.,Hãy đảm bảo người đại diện mà bạn đặt chỗ là chuyên gia về du lịch Galapagos với kiến thức sâu rộng về nhiều tàu du lịch khác nhau.
"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.","Khi số lần REM mỗi đêm giảm đi, trạng thái bạn thực sự ngủ và cơ thể bạn hồi phục trở nên hiếm hoi đến mức gây ra vấn đề."
"Nevertheless, all French-speaking Belgians and Swiss would have learned standard French in school, so they would be able to understand you even if you used the standard French numbering system.","Tuy nhiên, tất cả người Bỉ và Thụy Sĩ sử dụng tiếng Pháp đều đã được đào tạo về tiếng Pháp tiêu chuẩn ở trường học, vì vậy họ vẫn có thể hiểu bạn ngay cả khi bạn sử dụng hệ thống số đếm chuẩn của tiếng Pháp."
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","Sau khi mà nhiều gia đình đang tìm kiếm sự hỗ trợ pháp lý để đối phó với việc cưỡng chế, một cuộc họp đã được tổ chức vào ngày 20 tháng 3 tại Trung tâm Pháp lý Cộng đồng East Bay cho những người bị ảnh hưởng bởi vụ lừa đảo nhà ở."
The nucleus consists of two particles - neutrons and protons.,Hạt nhân gồm hai loại hạt cơ bản là nơtrôn và prôtôn.
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","Khi các hộ thuê nhà bắt đầu chia sẻ kinh nghiệm của họ, hầu hết các hộ gia đình liên quan phát hiện ra rằng Carolyn Wilson thuộc OHA đã chiếm đoạt tiền ký quỹ của họ và bỏ trốn."
"There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.","Sẽ phát sinh phụ phí nếu đi quá 2 hành khách, vì vậy nên có thể tốn kém hơn dự tính."
Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,Độ căng bề mặt xảy ra do các phân tử nước trên bề mặt thu hút nhau mạnh mẽ hơn so với các phân tử không khí phía trên.
Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution.,Các phần hiện tại của Bỉ là một phần của Luxembourg trong quá khứ nhưng trở thành một phần của Bỉ sau cuộc Cách mạng Bỉ vào đầu những năm 1830.
"Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.","Nhờ các liên kết cáp quang dưới biển với châu Âu và vệ tinh băng thông rộng, Greenland có kết nối tốt với 93% dân số có thể truy cập vào internet."
As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.,"Khi khả năng thu thập và lĩnh hội kiến thức thay đổi như đã nói ở trên, tốc độ thu thập kiến thức cơ bản cũng thay đổi."
"And then back to the north through the west, once again crossing the Mara river, after the rains in around April.","Và sau đó trở lại phía bắc qua phía tây lần nữa, băng qua sông Mara sau mùa mưa vào khoảng tháng tư."
Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.,Đạo Sikh là một tôn giáo từ châu thổ Ấn Độ. Nó bắt nguồn từ vùng Punjab trong thế kỷ thứ 15 từ một sự phân chia giáo phái trong lòng truyền thống Hindu.
This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,Điều này là do dòng điện chảy vào ổ cắm nơi phần kim loại của bóng đèn được đặt có thể gây sốc điện nguy hiểm cho bạn nếu bạn chạm vào phần bên trong của ổ cắm hoặc phần đế bằng kim loại của bóng đèn trong khi bóng đèn vẫn còn một phần trong ổ cắm.
"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains.","Vào khoảng tháng Mười hàng năm, hơn 1,5 triệu loài ăn cỏ di cư về phía nam, băng qua sông Mara, từ vùng đồi phía bắc để đến mùa mưa."
They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,"Thông thường, họ cung cấp băng thông lớn hơn và chất lượng dịch vụ cao hơn. Nội dung của họ được mã hóa và do đó khó bị giám sát hơn."
"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees.","Khác với các loài linh trưởng khác, hominid không còn dùng tay trong việc di chuyển, chịu trọng lượng hoặc nhảy qua cây."
"When people don't see moose as potentially dangerous, they may approach too closely and put themselves at risk.","Khi mọi người không coi loài hươu là nguy hiểm, họ có thể tiếp cận quá gần và tự đưa mình vào tình huống nguy hiểm."
Authorities said little officially beyond confirming today's arrest.,Chính quyền chỉ xác nhận vụ bắt giữ ngày hôm nay.
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","Quốc hội Liên bang Brazil đã tranh luận về việc hợp pháp hóa hôn nhân đồng tính trong 10 năm, và loại hình hôn nhân dân sự như vậy hiện chỉ được công nhận hợp pháp tại bang Rio Grande do Sul."
It can be better to use an agent who frequently books similar trips to yours.,Điều này có thể hữu ích hơn khi sử dụng một đại diện du lịch thường xuyên đặt tour giống chuyến đi của bạn.
"While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization.","Mặc dù hiểu biết về lịch sử bản thân không đồng nghĩa với sự hiểu biết về văn hóa, nhưng nhằm giúp mọi người cảm nhận vị trí của mình trong toàn cảnh lịch sử của tổ chức."
Possible long term health events from excessive drinking can include liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol.,"Các vấn đề sức khỏe dài hạn có thể xảy ra khi uống rượu quá mức có thể dẫn đến như tổn thương gan, mù lòa và tử vong. Nguy cơ tăng lên khi sử dụng rượu loại sản xuất trái phép."
