Sentence,id,Translation
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,888,"Vài ngàn nhân viên sống ở đây vào mùa hè trong khoảng bốn chục căn cứ chủ yếu nằm trong những khu vực này, và một số ít ở lại qua mùa đông."
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",70,"HK Management Inc., công ty quản lý của ban nhạc, lúc đầu đã không đưa ra lý do nào khi hủy bỏ vào ngày 20 tháng Chín nhưng lại đổ lỗi cho các lý do về hậu cần sân bãi vào ngày hôm sau."
"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.",822,"Mặc dù đa số các văn phòng đại lý sẵn sàng đảm nhận hầu hết hoạt động đặt phòng thông thường, nhiều đại lý chuyên về một số loại hình du lịch, phạm vi ngân sách hoặc điểm đến cụ thể."
Its large glazed windows and thin walls would not have been able to resist a determined attack for long.,468,Những cửa sổ lắp kính lớn và những bức tường mỏng manh sẽ không thể chống chịu lâu trước một cuộc tấn công mãnh liệt.
However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,382,"Tuy nhiên, năm 991, Ethelred phải đối mặt với một hạm đội Viking lớn nhất kể từ thời đại Guthrum ở thế kỷ trước."
"According to reports, an apartment on Macbeth Street exploded due to a gas leak.",208,"Theo báo cáo ghi nhận được, một căn hộ trên đường Macbeth đã phát nổ do rò rỉ ga."
When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic.,570,Khi tất cả các cá thể trong một quần thể giống hệt nhau về một đặc điểm kiểu hình cụ thể thì chúng được gọi là đơn hình.
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".",377,"Phần bên ngoài mà chúng ta nhìn thấy khi nhìn vào Mặt trời được gọi là quang quyển, có nghĩa là ""quả cầu ánh sáng""."
"The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.",896,"Hoa văn phải đủ sâu, khoảng 5mm (1/5 inch) hoặc hơn và chất liệu phải đủ mềm trong nhiệt độ lạnh."
"For those unfamiliar with medical jargon, the words infectious and contagious have distinct meanings.",876,"Đối với những người không quen với thuật ngữ y khoa, từ lây lan và truyền nhiễm có ý nghĩa không giống nhau."
"Avalanches are not an abnormality; steep slopes can hold only so much slow, and the excess volumes will come down as avalanches.",899,"Tuyết lở không phải là hiện tượng bất thường; những sườn núi dốc chỉ giữ được một số lượng tuyết nhất định, và phần còn lại sẽ rơi xuống tạo thành tuyết lở."
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",59,"Những ông trùm này đã từng nằm dưới trướng của Provenzano khi gã đặt dấu chấm hết cho cuộc chiến do Riina dấy lên chống lại nhà nước. Cuộc chiến đó đã cướp đi sinh mạng của hai người hùng chống Mafia là Giovanni Falcone và Paolo Borsellino vào năm 1992""."
"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.",168,Được hộ tống bởi các công chức ông ta cam đoan với các công dân Texas rằng các bước đang được thực hiện để bảo vệ an ninh công cộng.
The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage.,249,Tòa nhà là nơi ở của một số người hành hương đến thăm vùng đất thánh vào đêm đại hành hương.
"Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.",808,"Tuy nhiên, trên thế giới còn rất nhiều cách uống cà phê đáng để thử một lần."
"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.",344,"Đã báo cáo bằng tiếng Anh và Nhật, tổ chức toàn cầu đang phát hành các chương trình bằng cả tiếng Tây Ban Nha, Ý, Hàn Quốc, cho truyền hình, web, và thiết bị di động."
A cell is the smallest structural and functional unit of a living (things) organism.,595,Tế bào là đơn vị chức năng và cấu tạo nhỏ nhất trong cơ thể (vật) sống.
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.",318,"Trong suốt ba thập kỷ qua, mặc dù chính thức là nước cộng sản nhưng Trung Quốc đã phát triển kinh tế thị trường."
"The focus of this mindset is speed, logic and accuracy, also identification of facts, reapplying existing techniques, gathering information.",625,"Sự tập trung tâm trí là tốc độ, sự hợp lý và tính chính xác, cũng như sự xác định thực tế, áp dụng lại các kỹ thuật có sẵn, thu thập thông tin."
"When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach.",542,"Khi thủy triều xuống mở ra một khoảng hở dọc theo dòng sông huyền bí chảy qua vùng phía đông bắc của bán đảo, họ nhanh chóng mở rộng hàng rào bằng một bức tường đá ngắn về hướng bắc kéo dài đến mép nước trên một bãi biển nhỏ."
"In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church.",622,"Trong trường hợp này, việc gợi nhớ lại những trường hợp trước đó về hoạt động khởi nghiệp và kết quả thành công đã giúp mọi người cởi mở hơn đối với những thay đổi và hướng đi mới cho nhà thờ địa phương."
"Jerusalem is the capital and largest city of Israel, though most other countries and the United Nations do not recognize it as Israel's capital.",693,"Jerusalem là thủ đô và thành phố lớn nhất của Israel, mặc dù hầu hết các quốc gia khác và Liên Hiệp Quốc chưa công nhận thành phố này là thủ đô của Israel."
"Seven points behind, Johnson is second with 2,243.",158,"Kém bảy điểm, Johnson xếp thứ hai với 2.243 điểm."
"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.",198,Ngoài việc bị sốt và đau họng thì tình rạng của tôi vẫn ổn và hoàn toàn có thể làm việc từ xa.
"San Francisco has developed a large tourist infrastructure with numerous hotels, restaurants, and top-notch convention facilities.",662,"San Francisco đã phát triển cơ sở hạ tầng du lịch rộng lớn với nhiều khách sạn, nhà hàng, và cơ sở hội nghị cao cấp."
"If you look at living things under a microscope, you will see that they are made of small squares or balls.",597,"Nếu quan sát những sinh vật sống dưới kính hiển vi, bạn sẽ thấy rằng chúng được tạo nên bởi những khối vuông hoặc những quả cầu nhỏ."
"Written words are often easier to understand than spoken words, also. This is especially true of addresses, which are often difficult to pronounce intelligibly.",787,"Ngôn ngữ viết cũng thường dễ hiểu hơn ngôn ngữ nói. Điều này đặc biệt đúng với địa chỉ bởi thông thường, rất khó để phát âm một cách dễ hiểu các địa chỉ."
"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.",380,"Vài năm sau, vào năm 1639, Jeremiah Horrocks - một nhà thiên văn học người Anh - đã quan sát được lộ trình của sao Kim."
"Unless you are a diplomat, working overseas generally means that you will have to file income tax in the country you are based in.",935,"Trừ khi là nhà ngoại giao, thông thường làm việc ở nước ngoài có nghĩa là bạn phải nộp tờ khai thuế thu nhập ở quốc gia mà bạn làm việc."
"However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).",425,"Tuy nhiên, Charles đã học đại học ở trường Trinity College, Cambridge, ngành Nhân chủng học và Khảo cổ học, rồi sau đó là ngành Lịch sử và lấy bằng hạng 2:2 (hạng trung bình khá)."
"I expect to return to all my duties on Monday,"" Arias said in a statement.",199,"""Tôi dự định trở lại tiếp tục đảm trách mọi bổn phận vào thứ Hai tới,"" Arias nói trong một tuyên ngôn."
"What is a cell? The word cell comes from the Latin word ""cella"", meaning ""small room"", and it was first coined by a microscopist observing the structure of cork.",576,"Tế bào là gì? Từ tế bào bắt nguồn từ tiếng La-tinh “cella”, nghĩa là “căn phòng nhỏ”, và được sử dụng đầu tiên bởi một nhà nghiên cứu quan sát cấu trúc của gỗ bần dưới kính hiển vi."
Russian ground control activated the jets and normal attitude of the station was regained.,266,Cơ quan kiểm soát mặt đất Nga đã kích hoạt động cơ và dáng bình thường của trạm đã được lập lại.
"It is possible to secure park permits directly from the Ranger Station in Puerto Jiménez, but they do not accept credit cards",736,"Giấy phép công viên có thể xin trực tiếp tại trạm kiểm lâm ở Puerto Jiménez, tuy nhiên họ không chấp nhận thẻ tín dụng."
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.",76,"Tuy nhiên, ông ấy lập lại tuyên bố của mình trước đó rằng Roe v. Wade là ""toàn bộ luật trong nước đã định"", nhấn mạnh tầm quan trọng về tính nhất quán của quyết định của Tòa án Tối cao."
"Especially in your initial days, consider splurging on Western-style and -quality hotels, food, and services to help acclimatize.",868,"Đặc biệt trong những ngày đầu, nên cân nhắc việc chi tiêu mạnh tay cho phong cách phương Tây và khách sạn, đồ ăn và dịch vụ chất lượng cao để thích nghi."
"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University).",634,"MRI dựa trên một hiện tượng vật lý được gọi là hưởng từ hạt nhân (NMR), được phát hiện bởi Felix Bloch (làm việc tại Đại học Stanford) và Edward Purcell (đến từ Đại học Harvard) vào những năm 1930."
"In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.",526,"Trong cuộc phục kích phía Đông Bardia, quân đội Anh đã bắt giữ được Tổng chỉ huy mười Quân đoàn Mười của Ý, Tướng Lastucci."
"Wildlife is among the most challenging motifs for a photographer, and needs a combination of good luck, patience, experience and good equipment.",781,"Động vật hoang dã là một trong những chủ đề mang tính thách thức nhất đối với nhiếp ảnh gia, yêu cầu người chụp phải có được sự may mắn, kiên nhẫn, kinh nghiệm và thiết bị chụp ảnh tốt."
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,23,Cầu thủ xuất sắc nhất của ngày hôm nay là Alex Ovechkin của đội Washington Capitals.
The jail became notorious after prisoner abuse was discovered there after US forces took over.,30,Nhà tù này trở nên nổi tiếng kể từ vụ việc ngược đãi tù nhân bị phát hiện sau khi quân Hoa Kỳ tiếp quản.
"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.",327,"Bobek sinh ra ở thủ đô Zagreb của Croatia, anh có được danh tiếng khi chơi cho Partizan Belgrade."
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",10,"Khoảng 11 giờ 29 phút, nhóm biểu tình di chuyển đến Bạch Sảnh, đi qua Quảng trường Trafalgar, dọc theo đường Strand, qua đường Aldwych và theo đường Kingsway tiến ra đường Holborn, nơi Đảng Bảo Thủ đang tổ chức Diễn đàn Mùa xuân tại khách sạn Grand Connaught Rooms."
"The Colonists, seeing this activity, had also called for reinforcements.",539,"Nhận thấy động thái này, phe Thực Dân cũng kêu gọi tiếp viện."
Stark's men took positions along the fence on the north end of the Colonist's position.,541,Bên Stark vào vị trí phòng thủ dọc theo hàng rào về phía bắc vị trí của bên Thực dân.
It is an archipelago with 15 islands spread out over 2.2 million km2 of ocean.,740,"Đó là một quần đảo bao gồm 15 đảo trải dài suốt một vùng biển rộng 2,2 triệu cây số vuông."
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",54,"Peter Costello, Bộ trưởng Ngân khố Úc và là người có khả năng giành thắng lợi nhất trước Thủ tướng John Howard với tư cách là lãnh đạo đảng Tự Do, đã dành sự ủng hộ của mình cho ngành công nghiệp điện hạt nhân ở Úc."
"However, in Malaysia, at least among the Malays in rural areas, it means ""come over,"" similar to the index finger bent toward the body, a gesture which is used in certain Western countries, and should be used only for that purpose.",974,"Tuy nhiên ở Mã Lai, ít nhất là ở vùng nông thôn, nó có nghĩa là ""lại đây"", tương tự cử chỉ ngoắc ngón trỏ hướng vào người được dùng ở một số nước phương Tây, và chỉ nên dùng chỉ cho mục đích đó."
"If you are going to camp out, bring a camp cot or hammock to keep you away from snakes, scorpions and such.",870,"Nếu bạn dự định cắm trại ngoài trời, hãy đem theo một chiếc giường xếp hoặc võng để giúp bạn tránh khỏi rắn, bò cạp và những loài tương tự."
"The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.",514,"Cách tiếp cận để có được thông tin là khác nhau. Không còn áp lực trong việc thu hồi riêng lẻ, nhưng khả năng thu hồi văn bản trở nên tập trung hơn."
"Towering above the north end of Machu Picchu is this steep mountain, often the backdrop to many photos of the ruins.",706,"Cao chót vót phía trên cực Bắc của Machu Picchu, sườn núi dốc đứng này thường là phông nền cho nhiều bức ảnh về phế tích này."
A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,371,Khủng long ba sừng Triceratop có thể dùng chiếc mỏ cứng của nó để xử sạch lá trước khi ăn thân.
It can be customized to make it easy to read and also with as much or little color as desired.,507,Nó có thể được điều chỉnh để tạo sự dễ dàng cho việc đọc và nhiều hoặc ít màu sắc theo ý muốn.
"This authentic community is located in Howe Sound just off Vancouver, and is easily accessed via scheduled water taxis departing Granville Island in downtown Vancouver.",730,"Cộng đồng này nằm ở Howe Sound ngoài khơi Vancouver, và có thể đến đó dễ dàng bằng taxi đường thủy chạy theo giời khởi hành từ Đảo Granville ở trung tâm thành phố Vancouver."
"There were no heavy traffic delays reported on the beltway, the city's alternate route.",260,"Không có báo cáo về ách tắc giao thông trầm trọng trên đường vành đai, tuyến đường thay thế của thành phố."
These requirements may often depend on what countries a traveller has visited or intends to visit.,880,Những quy định này có thể thường phụ thuộc vào những quốc gia cụ thể mà khách du lịch đã đến hay dự định đến.
"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",96,Il-76 là hành phần chính trong cả quân đội Nga và Xô Viết kể từ những năm 1970 và đã gặp một tai nạn nghiêm trọng tại Nga tháng trước.
"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.",107,"Khi chiếc hộp về đến Trái Đất và đi vào bầu khí quyển, khoảng 5 giờ sáng (giờ miền đông), theo dự báo nó sẽ tạo ra một cảnh tượng khá đẹp mắt mà người dân các vùng Bắc California, Oregon, Nevada, và Utah có thể thưởng thức."
"Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.",650,"Khách sạn và nhà trọ (nếu ở nhà khách hoặc nhà riêng) đều có wifi hoặc PC kết nối Internet, và tất cả khu dân cư đều có quán cà phê Internet hoặc một số nơi có wifi công cộng."
"One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.",174,"Allen, một trong những người giàu nhất thế giới được biết là đã đầu tư rất nhiều tiền của vào thám hiểm đại dương và bắt đầu truy tìm ra tàu Musashi từng gây chú ý trong suốt thời gian chiến tranh."
The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states.,521,Nguyên nhân chính cho hiện tượng này là kết quả của những giấc mơ tỉnh kéo dài thời gian giữa các trạng thái REM.
"Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.",911,"Vì các cuộc gọi được định tuyến qua mạng Internet, nên bạn không cần đến công ty cung cấp dịch vụ điện thoại tại nơi bạn sinh sống hoặc du lịch."
Each show would also provide recommendations for books that children should look for when they went to their library.,39,Mỗi chương trình cũng sẽ đưa ra đề xuất về những cuốn sách mà trẻ em nên tìm đọc khi đến thư viện.
Be sure the agent through whom you book is a Galapagos specialist with a good knowledge of a wide variety of ships.,714,Hãy đảm bảo rằng đại lý mà bạn đăng ký là một chuyên gia về Galapagos và thông thạo về nhiều loại tàu thuyền khác nhau.
"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.",522,"Với REM ít hơn mỗi đêm, trạng thái mà trong đó bạn trải nghiệm giấc ngủ thực và cơ thể bạn phục hồi trở nên ít xảy ra để trở thành một vấn đề."
"Nevertheless, all French-speaking Belgians and Swiss would have learned standard French in school, so they would be able to understand you even if you used the standard French numbering system.",972,"Tuy vậy, tất cả người Bỉ và Thụy Sĩ nói tiếng Pháp đều học tiếng Pháp chuẩn ở trường học, vì vậy dù bạn dùng hệ thống số đếm trong tiếng Pháp chuẩn thì họ vẫn hiểu."
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",66,"Sau khi sự việc trở nên rõ ràng là nhiều gia đình đang tìm sự trợ giúp về pháp lý để tranh đấu chống lại việc bị đuổi nhà, một buổi họp đã được tổ chức vào ngày 20 tháng Ba tại Trung tâm Luật Cộng đồng East Bay dành cho những nạn nhân của vụ lừa đảo về nhà ở này."
The nucleus consists of two particles - neutrons and protons.,558,Nhân gồm có hai loại hạt - neutron và proton.
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",67,"Khi những người thuê nhà kể lại chuyện xảy ra với họ, hầu hết các gia đình có liên quan chợt nhận ra Carolyn Wilson của Cơ quan Nhà ở Oakland (OHA) đã lấy cắp tiền đặt cọc của họ và trốn khỏi thị trấn."
"There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.",885,"Sẽ thu thêm phụ phí nếu có nhiều hơn 2 hành khách, vì vậy lựa chọn này có thể đắt hơn mức cần thiết."
Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,352,Sức căng bề mặt xảy ra do lực hấp dẫn giữa các phân tử nước trên bề mặt nước lớn hơn so với lực hấp dẫn với các phân tử khí phía trên chúng.
Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution.,433,Rất nhiều khu vực hiện nay của Bỉ trước đây từng là đất của Luxembourg nhưng sau đó đã thuộc về người Bỉ kể từ Cách mạng Bỉ những năm 1830.
"Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.",649,"Nhờ có liên kết cáp quang dưới biển đến Châu Âu và vệ tinh băng thông rộng, Greenland kết nối tốt với 93% dân số có truy cập internet."
As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.,513,Khi khả năng tiếp nhận kiến thức và học hỏi thay đổi theo cách nói trên thì tốc độ căn bản của việc tiếp thu kiến thức cũng sẽ thay đổi.
"And then back to the north through the west, once again crossing the Mara river, after the rains in around April.",449,"Và sau đó trở lại miền bắc đi qua miền tây, một lần nữa vượt sông Mara, sau mùa mưa vào khoảng tháng Tư."
Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.,485,Đạo Sikh là một tôn giáo xuất phát từ tiểu lục địa Ấn Độ. Nó bắt nguồn ở vùng Punjab trong thế kỷ 15 từ một sự phân chia giáo phái bên trong Ấn Độ giáo truyền thống.
This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,365,Đó là bởi vì dòng diện vào trong các ổ cắm nơi có phần kim loại của bóng đèn có thể làm cho bạn bị điện giật nghiêm trọng nếu bạn chạm vào bên trong ổ cắm hoặc chuôi đèn khi một phần vẫn còn trong ổ cắm.
"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains.",448,"Hàng năm vào tháng Mười, gần 1,5 triệu động vật ăn cỏ tiến về phía đồng bằng phía Nam, băng qua Sông Mara, từ những ngon đồi phía Bắc để đón những cơn mưa."
They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,907,Chúng thường đem lại băng thông cao hơn và chất lượng dịch vụ tốt hơn. Chúng được mã hoá và do đó khó bị theo dõi hơn.
"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees.",516,"Khác với các loài linh trưởng khác, vượn nhân hình không còn dùng tay để vận động hay nâng đỡ trọng lượng cơ thể hoặc để đánh đu trên cây nữa."
"When people don't see moose as potentially dangerous, they may approach too closely and put themselves at risk.",800,"Khi cho rằng nai sừng tấm không nguy hiểm, con người có thể đến quá gần nó và tự rước họa vào thân."
Authorities said little officially beyond confirming today's arrest.,88,Nhà chức trách không cung cấp nhiều thông tin chính thức ngoài việc xác nhận vụ bắt giữ ngày hôm nay.
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",63,"Quốc Hội của Brazil đã tranh luận về việc hợp pháp hóa trong 10 năm, và hôn nhân dân sự hiện tại chỉ hợp pháp tại Rio Grande do Sul."
It can be better to use an agent who frequently books similar trips to yours.,823,Tốt hơn có thể nên dùng những đại lý thường xuyên đặt các chuyến đi tương tự như của bạn.
"While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization.",620,"Mặc dù sự hiểu biết về một lịch sử của người nào đó không có nghĩa mang lại sự hiểu biết về văn hóa, nhưng ít nhất nó cũng giúp mọi người hiểu được tình hình trong bối cảnh lịch sử của tổ chức."
Possible long term health events from excessive drinking can include liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol.,802,Các vấn đề sức khỏe lâu dài từ việc lạm dụng đồ uống có cồn có thể bao gồm tổn thương gan và thậm chí là mù lòa và tử vong. Sự nguy hại tiềm tàng tăng lên khi tiêu thụ rượu sản xuất trái phép.
