Source Text,Translation
The jail became notorious after prisoner abuse was discovered there after US forces took over.,Nhà tù đã trở nên tai tiếng sau khi quân đội Mỹ tiếp quản và phát hiện hành vi ngược đãi tù nhân ở đó.
"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","Piquet Jr. đã va chạm tại Giải đua xe Công thức 1 Singapore năm 2008 ngay sau khi Fernando Alonso thực hiện pit-stop sớm, dẫn đến việc xe an toàn được triệu hồi."
"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Khi các xe trước Alonso vào pit tiếp nhiên liệu trong lúc có xe an toàn, Alonso đã vượt lên và giành chiến thắng."
Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. đã bị sa thải sau Grand Prix Hungary năm 2009.
"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","Vào đúng 8:46 sáng, không khí yên lặng bao trùm khắp thành phố khi chiếc máy bay phản lực đầu tiên đâm vào mục tiêu."
Two beams of light have been rigged up to point skywards overnight.,Hai tia sáng đã được thiết lập để hướng thẳng lên bầu trời suốt đêm vào ban đêm.
"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Công trình xây dựng đang được tiến hành cho năm tòa nhà chọc trời mới đang được xây dựng tại khu vực này, bao gồm một trung tâm giao thông và một công viên tưởng niệm ngay tại trung tâm."
"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","Chương trình của PBS đã giành được hơn hai mươi bốn giải Emmy, và chỉ có thời lượng phát sóng ngắn hơn so với Sesame Street (Đường phố Sesame) và Mister Rogers' Neighborhood (Khu phố của ông Rogers)."
Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Mỗi tập của chương trình sẽ đi sâu vào một chủ đề trong một cuốn sách cụ thể và sau đó khám phá chủ đề đó qua các câu chuyện khác nhau.
Each show would also provide recommendations for books that children should look for when they went to their library.,Mỗi chương trình cũng sẽ đưa ra gợi ý về những cuốn sách mà các em nên tìm kiếm khi đến thư viện.
"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grant, từ WNED Buffalo (đài phát sóng chương trình Reading Rainbow) nói ""Reading Rainbow đã dạy trẻ em tầm quan trọng của việc đọc,... đam mê đọc sách — chương trình khuyến khích trẻ em mở sách ra và đắm chìm vào thế giới của sách."""
"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",John Grant cùng một số người khác tin rằng cuộc khủng hoảng tài chính nghiêm trọng và sự thay đổi trong triết lý phát triển nội dung của các chương trình truyền hình giáo dục đã cùng nhau góp phần kết thúc loạt chương trình.
"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","Cơn bão cách quần đảo Cape Verde khoảng 1040 km (khoảng 645 dặm) về phía tây, có khả năng tan rã trước khi đe dọa bất kỳ khu vực đất liền nào, theo dự báo."
Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,"Hiện tại, cơn bão Fred đang có gió mạnh 105 dặm/giờ (165 km/h) và di chuyển về hướng tây bắc."
"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fred là cơn bão nhiệt đới mạnh nhất từng được ghi nhận ở vị trí cực nam và cực đông nhất trong Đại Tây Dương kể từ khi hình ảnh vệ tinh bắt đầu được sử dụng, và chỉ là cơn bão lớn cấp cao thứ ba được ghi nhận ở phía đông của 35° Tây."
"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","Ngày 24 tháng 9 năm 1759, Arthur Guinness đã ký kết bản thuê đất trong 9000 năm cho nhà máy bia St James' Gate tại Dublin, Ireland."
"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 năm sau, Guinness đã trở thành một doanh nghiệp toàn cầu. Hàng năm, họ thu về 10 tỷ euro (EUR) (14,7 tỷ đô la Mỹ)."
"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.","Jonny Reid, tay đua phụ cho đội A1GP New Zealand, hôm nay đã làm nên lịch sử một cách ngoạn mục bằng cách lái xe qua Cầu Cảng Auckland, đã 48 tuổi, với tốc độ nhanh nhất một cách hợp pháp."
"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","Ông Reid đã thành công trong việc lái chiếc xe A1GP của New Zealand, Black Beauty, qua cây cầu đó bảy lần với tốc độ trên 160km/h."
"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Cảnh sát New Zealand gặp khó khăn trong việc sử dụng súng radar đo tốc độ để xác định tốc độ của ông Reid vì chiếc Black Beauty quá thấp, và chỉ duy nhất một lần họ mới đo được tốc độ ông Reid khi ông chậm lại còn 160km/h."
"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.","Trong 3 tháng qua, hơn 80 người bị bắt đã được phóng thích từ trung tâm giam giữ Trung ương mà không có cáo buộc chính thức."
"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","Vào tháng Tư năm nay, Thẩm phán Glynn đã ra lệnh cấm tạm thời buộc cơ sở này phải thả những người bị giữ quá 24 giờ sau khi nhận vào mà không được xét xử bởi một ủy viên tòa án."
"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","Thẩm phán quyết định tiền bảo lãnh, nếu được chấp thuận, và xác nhận các cáo buộc do viên cảnh sát bắt giữ đưa ra. Các cáo buộc sau đó được nhập vào hệ thống máy tính của tiểu bang để theo dõi vụ án."
The hearing also marks the date for the suspect’s right to a speedy trial.,Phiên điều trần này cũng là dịp để xác định ngày mà nghi phạm được hưởng quyền xét xử nhanh chóng.
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Peter Costello, Bộ trưởng Tài chính Australia và được xem là người có khả năng cao nhất sẽ kế nhiệm Thủ tướng John Howard làm chủ tịch Đảng Tự do, đã bày tỏ sự ủng hộ của mình cho việc phát triển ngành công nghiệp điện hạt nhân tại Australia."
"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","Theo ông Costello, khi việc sản xuất điện năng lượng hạt nhân trở nên kinh tế hơn, Úc nên xem xét việc sử dụng năng lượng hạt nhân."
"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","""Nếu nó trở nên khả thi về mặt thương mại, chúng ta nên có nó. Có nghĩa là, không có bất kỳ sự phản đối nào về nguyên tắc đối với năng lượng hạt nhân,"" ông Costello nói."
"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","""Theo Ansa, ""cảnh sát lo sợ về một vài vụ giết người hàng đầu mà họ lo sợ có thể làm bùng nổ một chiến tranh giành quyền kế vị toàn diện."""
Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,"Cảnh sát cho biết Lo Piccolo có ưu thế vì ông từng là trợ lý đắc lực của ông Provenzano tại Palermo và kinh nghiệm dày dạn đã giúp ông giành được sự tôn trọng của thế hệ lão làng, đồng thời tiếp tục thực hiện chính sách giữ thế thấp tối đa và củng cố mạng lưới quyền lực."
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","Các ông trùm này đã bị Provenzano kiềm chế khi ông chấm dứt cuộc chiến với nhà nước do Riina khởi xướng, cuộc chiến đã cướp đi mạng sống của hai công tố viên danh tiếng chống Mafia là Giovanni Falcone và Paolo Borsellino vào năm 1992."
Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,"Giám đốc điều hành của Apple, Steve Jobs, đã trình làng thiết bị khi anh ấy đi lên sân khấu và lấy chiếc iPhone ra từ túi quần jean."
"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","Trong bài phát biểu kéo dài 2 giờ của mình, ông đã phát biểu: ""Hôm nay Apple sẽ tái phát minh điện thoại, chúng ta sẽ làm nên lịch sử ngay hôm nay""."
"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","Brazil là quốc gia Công giáo La Mã lớn nhất trên thế giới, và tại quốc gia này, Giáo hội Công giáo La Mã nhất quán phản đối việc hợp pháp hóa hôn nhân đồng giới."
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","Quốc hội Brazil đã thảo luận về việc hợp pháp hóa hôn nhân dân sự trong 10 năm, và hiện tại chỉ có những cuộc hôn nhân dân sự ở Rio Grande do Sul mới được công nhận là hợp pháp."
"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.","Dự luật ban đầu do cựu thị trưởng São Paulo, Marta Suplicy, được dự thảo. Sau khi được sửa đổi, hiện nay Roberto Jefferson đang quản lý dự luật này."
Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,"Người biểu tình hy vọng sẽ thu thập một kiến nghị gồm 1,2 triệu chữ ký để nộp lên Quốc hội vào tháng Mười Một."
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","Sau khi thấy rằng nhiều gia đình đang tìm kiếm trợ giúp pháp lý để chống lại việc bị trục xuất, một cuộc họp đã được tổ chức vào ngày 20 tháng 3 tại Trung tâm Luật Cộng đồng East Bay dành cho những nạn nhân của vụ lừa đảo nhà ở."
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","Khi các hộ thuê nhà bắt đầu kể lại chuyện đã xảy ra với họ, hầu hết các gia đình liên quan thì đột nhiên nhận ra rằng Carolyn Wilson thuộc Cơ quan Quản lý Nhà ở Oakland (OHA) đã lấy trộm tiền đặt cọc của họ và lặng lẽ rời khỏi thành phố."
"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.","Cư dân tại Lockwood Gardens lo ngại rằng có thể có thêm ít nhất 40 gia đình nữa sẽ phải đối mặt với việc bị đuổi khỏi nhà, kể từ khi họ biết rằng lực lượng an ninh của Cơ quan Nhà ở Oakland cũng đang điều tra các khu nhà ở công cộng khác tại Oakland liên quan đến vụ lừa đảo nhà ở."
"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","Ban nhạc đã hủy buổi biểu diễn tại Sân vận động Chiến sĩ Maui, nơi dự kiến có 9,000 khán giả, và xin lỗi người hâm mộ."
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","Công ty quản lý của ban nhạc, HK Management Inc., không đưa ra lý do gì khi hủy bỏ vào ngày 20 tháng 9, nhưng đến ngày hôm sau thì đổ lỗi cho lý do hậu cần."
"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.","Các luật sư nổi tiếng người Hy Lạp, Sakis Kechagioglou và George Nikolakopoulos đã bị tống giam trong nhà tù Korydallus của Athens, vì họ bị kết án tội hối lộ chính trị và tham nhũng."
"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","Vì thế, một vụ bê bối lớn đã bị phơi bày trong cộng đồng pháp lý Hy Lạp, qua việc tiết lộ những hành vi bất hợp pháp của các thẩm phán và luật sư trong những năm gần đây."
"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","Vài tuần trước, thông tin do nhà báo Makis Triantafylopoulos công bố trong chương trình truyền hình ""Zoungla"" trên Alpha TV đã dẫn đến việc nghị sĩ kiêm luật sư Petros Mantouvalos bị buộc phải từ chức. Nguyên nhân là do các thành viên trong văn phòng của ông bị liên quan đến các vụ hối lộ và tham nhũng bất hợp pháp."
"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.","Hơn nữa, thẩm phán cao cấp Evangelos Kalousis đã bị giam giữ sau khi được xét thấy có tội về tham nhũng và hành vi đồi bại."
"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.","Roberts kiên quyết từ chối trả lời khi nào ông tin rằng cuộc sống bắt đầu, một câu hỏi quan trọng khi xem xét đạo đức của việc phá thai, cho rằng việc bình luận về các trường hợp tiềm tàng sẽ thiếu đạo đức."
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","Ông ấy đã tái khẳng định tuyên bố trước đó của mình rằng vụ án Roe v. Wade của Hoa Kỳ là ""luật đã được ấn định"", và nhấn mạnh tầm quan trọng của sự nhất quán trong các phán quyết của Tòa án Tối cao."
He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,"Anh ấy cũng xác nhận rằng mình tin vào quyền riêng tư ngầm hiểu, quyền mà phán quyết Roe đã dựa vào."
"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.","Maroochydore trong giải đấu đã dẫn đầu bảng xếp hạng, bỏ xa Noosa ở vị trí thứ hai với sáu điểm."
The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,Hai bên sẽ gặp nhau trong trận bán kết quan trọng và Noosa chiến thắng cuối cùng với cách biệt 11 điểm.
Maroochydore then defeated Caboolture in the Preliminary Final.,Maroochydore đã đánh bại Caboolture trong Trận Bán kết Cuối cùng.
Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,"Hesperonychus elizabethae là một loài trong họ Dromaeosauridae, họ hàng xa của Velociraptor."
"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","Loài chim săn mồi máu nóng, hoàn toàn phủ lông vũ này được cho là đã đi đứng bằng hai chân với những móng vuốt giống như Velociraptor, một loại khủng long săn mồi."
"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","Móng vuốt thứ hai của nó đặc biệt to hơn, từ đó có tên khoa học là Hesperonychus, nghĩa là 'móng vuốt của phương Tây'."
"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.","Ngoài băng giá nghiêm trọng, các điều kiện thời tiết cực đoan đã gây cản trở cho nỗ lực cứu hộ."
Pittman suggested that conditions wouldn't improve until sometime next week.,Pittman cho rằng điều kiện sẽ không có cải thiện đến tuần sau.
"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.","Theo Pittman, lượng và độ dày của tảng băng trôi hiện đang ở mức tồi tệ nhất trong vòng 15 năm qua đối với những người đánh bắt hải cẩu."
News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,"Thông tin được báo cáo tại cộng đồng Red Lake hôm nay, trong khi diễn ra đám tang của Jeff Weise và ba trong số chín nạn nhân kia, đồng thời một học sinh khác đã bị bắt liên quan đến vụ xả súng trường học ngày 21 tháng Ba."
Authorities said little officially beyond confirming today's arrest.,Các cơ quan chức năng chỉ chính thức xác nhận việc bắt giữ ngày hôm nay mà thôi.
"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","Tuy nhiên, một nguồn tin am hiểu cuộc điều tra đã cho tờ Minneapolis Star-Tribune biết rằng đó là Louis Jourdain, con trai 16 tuổi của Chủ tịch Hội đồng Bộ lạc Red Lake, Floyd Jourdain."
It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,"Hiện nay, vẫn chưa rõ sẽ có những cáo buộc gì được đưa ra hay điều gì đã dẫn đến việc các cơ quan chức năng tiếp cận cậu bé, nhưng các thủ tục tố tụng dành cho vị thành niên đã được bắt đầu tại tòa án liên bang."
Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,Lodin cho biết các quan chức quyết định hủy bỏ cuộc bầu cử vòng hai nhằm tiết kiệm chi phí và giảm thiểu rủi ro an ninh cho người dân Afghanistan khỏi một cuộc bầu cử khác.
Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,Các nhà ngoại giao đã bày tỏ rằng họ tìm thấy đủ tính mập mờ trong hiến pháp Afghanistan để kết luận rằng không cần thiết phải tiến hành vòng bầu cử thứ hai.
"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.","Các báo cáo trước đó nói rằng, việc hủy bỏ vòng bỏ phiếu phụ sẽ trái với hiến pháp, điều này mâu thuẫn với..."
The aircraft had been headed to Irkutsk and was being operated by interior troops.,Chiếc máy bay đang trên đường tới Irkutsk và do lực lượng cảnh sát cơ động điều khiển.
An inquiry was established to investigate.,Đã thành lập một cuộc điều tra.
"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",Il-76 đã là một thành phần chủ chốt của quân đội của Nga và của Liên Xô kể từ đầu những năm 1970 và đã từng chứng kiến một vụ tai nạn nghiêm trọng ở Nga trong tháng trước.
"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.","Vào ngày 7 tháng 10, một động cơ đã bị tách ra từ khi cất cánh, không gây thương tích. Nga đã tạm thời đình chỉ hoạt động bay của các máy bay Il-76 sau vụ tai nạn đó."
"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.","Sau vụ tràn hàng ngàn barrel dầu thô, 800 dặm của Hệ thống Đường ống Dẫn dầu Alaska đã ngừng hoạt động."
A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,"Do việc kiểm tra định kỳ hệ thống chỉ huy chữa cháy, một sự cố mất điện đã xảy ra khiến các van xả an toàn mở ra và dầu thô bị tràn ra gần trạm bơm Fort Greely số 9."
